code_cis,denomination_substance,nom_com_prep
60034644,TÉTRACOSACTIDE,SYNACTHENE RETARD IM
60034936,KÉTOCONAZOLE,KETOCONAZOLE BIOGARAN
60035461,CHLORHYDRATE D'AMBROXOL,LYSOPAÏNE MAUX DE GORGE AMBROXOL CITRON SANS SUCRE
60035714,GOLIMUMAB ,SIMPONI
60035924,OXOMÉMAZINE,OXOMEMAZINE MYLAN SANS SUCRE
60037327,SULFATE DE PROTAMINE,PROTAMINE CHOAY UAH
60037380,VALSARTAN,AMLODIPINEVALSARTAN KRKA
60037380,AMLODIPINE,AMLODIPINEVALSARTAN KRKA
60037380,BÉSILATE D'AMLODIPINE,AMLODIPINEVALSARTAN KRKA
60038468,LAMOTRIGINE,LAMOTRIGINE ARROW LAB
60040145,OXYDE DE ZINC,SENOPHILE
60040145,BENZOATE DE CHOLÉSTÉROL,SENOPHILE
60040469,CÉTHEXONIUM (BROMURE DE),MONOSEPT POUR MILLE
60040572,ALBUMINE HUMAINE ,VIALEBEX NOUVEAUXNES ET NOURRISSONS
60041165,GLONOINUM POUR PRÉPARATIONS HOMÉOPATHIQUES,GLONOINUM WELEDA CH CH DH DH
60041165,GLONOINUM POUR PRÉPARATIONS HOMÉOPATHIQUES,GLONOINUM WELEDA CH CH DH DH
60041165,GLONOINUM POUR PRÉPARATIONS HOMÉOPATHIQUES,GLONOINUM WELEDA CH CH DH DH
60041560,CHLORHYDRATE DE TRAMADOL,TRAMADOL CRISTERS LP
60042395,CACTUS GRANDIFLORUS POUR PRÉPARATIONS HOMÉOPATHIQUES,CACTUS GRANDIFLORUS LEHNING CH CH DH DH
60042395,CACTUS GRANDIFLORUS POUR PRÉPARATIONS HOMÉOPATHIQUES,CACTUS GRANDIFLORUS LEHNING CH CH DH DH
60042395,CACTUS GRANDIFLORUS POUR PRÉPARATIONS HOMÉOPATHIQUES,CACTUS GRANDIFLORUS LEHNING CH CH DH DH
60042395,CACTUS GRANDIFLORUS POUR PRÉPARATIONS HOMÉOPATHIQUES,CACTUS GRANDIFLORUS LEHNING CH CH DH DH
60042395,CACTUS GRANDIFLORUS POUR PRÉPARATIONS HOMÉOPATHIQUES,CACTUS GRANDIFLORUS LEHNING CH CH DH DH
60042395,CACTUS GRANDIFLORUS POUR PRÉPARATIONS HOMÉOPATHIQUES,CACTUS GRANDIFLORUS LEHNING CH CH DH DH
60043038,OXYGÈNE,ACTYNOX
60043038,PROTOXYDE D'AZOTE,ACTYNOX
60043077,OXCARBAZÉPINE,OXCARBAZEPINE MYLAN
60043248,"VIRUS DE LA ROUGEOLE, SOUCHE SCHWARTZ, VIVANT, ATTÉNUÉ ",ROUVAX V
60044161,OCIMUM BASILICUM POUR PRÉPARATIONS HOMÉOPATHIQUES,OCIMUM BASILICUM BOIRON CH CH DH DH
60044161,OCIMUM BASILICUM POUR PRÉPARATIONS HOMÉOPATHIQUES,OCIMUM BASILICUM BOIRON CH CH DH DH
60044161,OCIMUM BASILICUM POUR PRÉPARATIONS HOMÉOPATHIQUES,OCIMUM BASILICUM BOIRON CH CH DH DH
60044161,OCIMUM BASILICUM POUR PRÉPARATIONS HOMÉOPATHIQUES,OCIMUM BASILICUM BOIRON CH CH DH DH
60044161,OCIMUM BASILICUM POUR PRÉPARATIONS HOMÉOPATHIQUES,OCIMUM BASILICUM BOIRON CH CH DH DH
60044161,OCIMUM BASILICUM POUR PRÉPARATIONS HOMÉOPATHIQUES,OCIMUM BASILICUM BOIRON CH CH DH DH
60044492,CHLORHYDRATE DE DONÉPÉZIL,DONEPEZIL CRISTERS
60044784,LÉVÉTIRACÉTAM,LEVETIRACETAM MYLAN PHARMA
60044841,ACIDE URSODÉOXYCHOLIQUE,TILLHEPO
60044987,CAPÉCITABINE,CAPECITABINE MYLAN
60045217,LÉVOSIMENDAN,ZIMINO
60045288,CUPRUM METALLICUM POUR PRÉPARATIONS HOMÉOPATHIQUES,W
60045288,ANTIMONIUM METALLICUM POUR PRÉPARATIONS HOMÉOPATHIQUES,W
60046529,PHOLCODINE MONOHYDRATÉE,PHOLCODINE BIOGARAN L
60047143,ALMITRINE (MÉSILATE D'),VECTARION INJECTABLE
60047182,CHLORHYDRATE DE MÉTHYLPHÉNIDATE,CONCERTA LP
60047225,DARATUMUMAB ,DARZALEX
60047271,LATANOPROST,XALATAN
60048672,DICHLORHYDRATE DE BÉTAHISTINE,BETAHISTINE TEVA
60049895,RAMIPRIL,RAMIPRIL ALMUS
60051024,ARGENTUM NITRICUM POUR PRÉPARATIONS HOMÉOPATHIQUES,ARUM TRIPHYLLUM COMPOSE BOIRON
60051024,GRINDELIA POUR PRÉPARATIONS HOMÉOPATHIQUES,ARUM TRIPHYLLUM COMPOSE BOIRON
60051024,ACONITUM NAPELLUS POUR PRÉPARATIONS HOMÉOPATHIQUES,ARUM TRIPHYLLUM COMPOSE BOIRON
60051024,ARUM TRIPHYLLUM POUR PRÉPARATIONS HOMÉOPATHIQUES,ARUM TRIPHYLLUM COMPOSE BOIRON
60051024,RUMEX CRISPUS POUR PRÉPARATIONS HOMÉOPATHIQUES,ARUM TRIPHYLLUM COMPOSE BOIRON
60051024,SPONGIA TOSTA POUR PRÉPARATIONS HOMÉOPATHIQUES,ARUM TRIPHYLLUM COMPOSE BOIRON
60051024,DROSERA POUR PRÉPARATIONS HOMÉOPATHIQUES,ARUM TRIPHYLLUM COMPOSE BOIRON
60051234,DUTASTÉRIDE,AVODART
60051316,LÉVÉTIRACÉTAM,LEVETIRACETAM MYLAN
60052254,SODIUM (PHÉNYLBUTYRATE DE),AMMONAPS
60052973,GEMCITABINE,GEMCITABINE HOSPIRA
60052973,CHLORHYDRATE DE GEMCITABINE,GEMCITABINE HOSPIRA
60053064,GLUCONATE DE COBALT,OLIGOSTIM COBALT
60053064,COBALT,OLIGOSTIM COBALT
60053694,PÉRINDOPRIL,COVERSYL
60053694,PÉRINDOPRIL ARGININE,COVERSYL
60054376,DACARBAZINE,DACARBAZINE LIPOMED
60056815,DIOSMINE,DIOSMINE SUN
60058008,VALSARTAN,EXFORGE
60058008,AMLODIPINE,EXFORGE
60058008,BÉSILATE D'AMLODIPINE,EXFORGE
60058378,SPIRONOLACTONE,SPIRONOLACTONE ZENTIVA
60058517,CHLORHYDRATE DE TIAGABINE MONOHYDRATÉ,GABITRIL
60058517,TIAGABINE ANHYDRE,GABITRIL
60058620,OLAPARIB,LYNPARZA
60059081,CHLORHYDRATE DE MÉTHYLPHÉNIDATE,RITALINE
60061171,LYMÉCYCLINE,TETRALYSAL
60061449,OXYGÈNE,OXYGENE MEDICINAL LIQUIDE SOMAL
60061602,PRÉGABALINE,PREGABALINE TEVA SANTE
60061709,SIMVASTATINE,INEGY
60061709,ÉZÉTIMIBE,INEGY
60063973,ARTERE POUR PRÉPARATIONS HOMÉOPATHIQUES,ARTERE BOIRON CH CH DH DH
60063973,ARTERE POUR PRÉPARATIONS HOMÉOPATHIQUES,ARTERE BOIRON CH CH DH DH
60063973,ARTERE POUR PRÉPARATIONS HOMÉOPATHIQUES,ARTERE BOIRON CH CH DH DH
60063973,ARTERE POUR PRÉPARATIONS HOMÉOPATHIQUES,ARTERE BOIRON CH CH DH DH
60063973,ARTERE POUR PRÉPARATIONS HOMÉOPATHIQUES,ARTERE BOIRON CH CH DH DH
60063973,ARTERE POUR PRÉPARATIONS HOMÉOPATHIQUES,ARTERE BOIRON CH CH DH DH
60064527,FRACTION FLAVONOÏQUE PURIFIÉE MICRONISÉE,DAFLON
60064872,BROMHYDRATE DE GALANTAMINE,GALANTAMINE ARROW LP
60064872,GALANTAMINE,GALANTAMINE ARROW LP
60065198,CHLORHYDRATE DE CÉLIPROLOL,CELIPROLOL ZENTIVA
60065294,PANTOPRAZOLE,PANTOPRAZOLE ZF
60065294,PANTOPRAZOLE SODIQUE SESQUIHYDRATÉ,PANTOPRAZOLE ZF
60067562,KETOTIFÈNE (FUMARATE DE),ZADITEN
60067562,KETOTIFÈNE BASE,ZADITEN
60068002,OXALATE D'ESCITALOPRAM,ESCITALOPRAM MYLAN
60068002,ESCITALOPRAM,ESCITALOPRAM MYLAN
60068034,MILNACIPRAN,MILNACIPRAN EG
60068034,CHLORHYDRATE DE MILNACIPRAN,MILNACIPRAN EG
60068251,AMLODIPINE,COVERAM
60068251,PÉRINDOPRIL,COVERAM
60068251,PÉRINDOPRIL ARGININE,COVERAM
60068251,BÉSILATE D'AMLODIPINE,COVERAM
60068333,AMLODIPINE,COVERAM
60068333,PÉRINDOPRIL,COVERAM
60068333,PÉRINDOPRIL ARGININE,COVERAM
60068333,BÉSILATE D'AMLODIPINE,COVERAM
60069307,NITISINONE,NITISINONE DIPHARMA
60069339,MONTÉLUKAST,MONTELUKAST TEVA
60069339,MONTÉLUKAST SODIQUE,MONTELUKAST TEVA
60070195,CHLORHYDRATE DE BAMIFYLLINE,TRENTADIL
60070195,BAMIFYLLINE BASE,TRENTADIL
60070359,CLOTRIMAZOLE,MYCOHYDRALIN
60070665,MÉTHOXY POLYÉTHYLÈNE GLYCOL-ÉPOÉTINE BÊTA ,MIRCERA
60071190,SIMVASTATINE,SIMVASTATINE SANDOZ
60071233,DARUNAVIR,DARUNAVIR REDDY PHARMA
60071233,DARUNAVIR PROPYLÈNE GLYCOLATE,DARUNAVIR REDDY PHARMA
60071379,BÊTA-ESTRADIOL,OROMONE
60071379,BÊTA-ESTRADIOL HÉMIHYDRATÉ,OROMONE
60071952,PANTOPRAZOLE,EUPANTOL
60071952,PANTOPRAZOLE SODIQUE SESQUIHYDRATÉ,EUPANTOL
60072050,THUYA OCCIDENTALIS POUR PRÉPARATIONS HOMÉOPATHIQUES,THUYA OCCIDENTALIS LEHNING CH CH DH DH
60072050,THUYA OCCIDENTALIS POUR PRÉPARATIONS HOMÉOPATHIQUES,THUYA OCCIDENTALIS LEHNING CH CH DH DH
60072050,THUYA OCCIDENTALIS POUR PRÉPARATIONS HOMÉOPATHIQUES,THUYA OCCIDENTALIS LEHNING CH CH DH DH
60072050,THUYA OCCIDENTALIS POUR PRÉPARATIONS HOMÉOPATHIQUES,THUYA OCCIDENTALIS LEHNING CH CH DH DH
60072050,THUYA OCCIDENTALIS POUR PRÉPARATIONS HOMÉOPATHIQUES,THUYA OCCIDENTALIS LEHNING CH CH DH DH
60072050,THUYA OCCIDENTALIS POUR PRÉPARATIONS HOMÉOPATHIQUES,THUYA OCCIDENTALIS LEHNING CH CH DH DH
60072506,CHLORHYDRATE DE MITOXANTRONE,MITOXANTRONE TEVA
60072506,MITOXANTRONE BASE,MITOXANTRONE TEVA
60073451,NAFTAZONE,ETIOVEN
60073608,DICHLORHYDRATE DE LÉVOCÉTIRIZINE,LEVOCETIRIZINE KRKA
60073907,CHLORHYDRATE DE DONÉPÉZIL,DONEPEZIL MYLAN
60073907,DONÉPÉZIL BASE,DONEPEZIL MYLAN
60073914,IBUPROFÈNE,IBUPROFENE BIOGARAN CONSEIL
60073960,PRASTÉRONE,INTRAROSA
60074432,PALMIER DE FLORIDE (SERENOA REPENS (W.BARTRAM) SMALL.) (EXTRAIT DU FRUIT DE),PERMIXON
60074795,PROTÉINES PLASMATIQUES HUMAINES ,OCTAPLASLG
60074934,CHLORHYDRATE D'ÉTHAMBUTOL,MYAMBUTOL IMIV
60075064,DIOXYDE DE TITANE,BIOXYOL
60075064,OXYDE DE ZINC,BIOXYOL
60075064,PEROXYDE DE ZINC,BIOXYOL
60075192,CHLORHYDRATE DE VENLAFAXINE,VENLAFAXINE ARROW LP
60075192,VENLAFAXINE,VENLAFAXINE ARROW LP
60075370,CITRATE DE FENTANYL,FENTANYL ARROW
60075370,FENTANYL,FENTANYL ARROW
60075452,PRÉGABALINE,PREGABALINE BIOGARAN
60077460,ASCLEPIAS TUBEROSA POUR PRÉPARATIONS HOMÉOPATHIQUES,ASCLEPIAS TUBEROSA BOIRON CH CH DH DH
60077460,ASCLEPIAS TUBEROSA POUR PRÉPARATIONS HOMÉOPATHIQUES,ASCLEPIAS TUBEROSA BOIRON CH CH DH DH
60077460,ASCLEPIAS TUBEROSA POUR PRÉPARATIONS HOMÉOPATHIQUES,ASCLEPIAS TUBEROSA BOIRON CH CH DH DH
60077460,ASCLEPIAS TUBEROSA POUR PRÉPARATIONS HOMÉOPATHIQUES,ASCLEPIAS TUBEROSA BOIRON CH CH DH DH
60077460,ASCLEPIAS TUBEROSA POUR PRÉPARATIONS HOMÉOPATHIQUES,ASCLEPIAS TUBEROSA BOIRON CH CH DH DH
60077460,ASCLEPIAS TUBEROSA POUR PRÉPARATIONS HOMÉOPATHIQUES,ASCLEPIAS TUBEROSA BOIRON CH CH DH DH
60077574,FUMARATE DE BISOPROLOL,CARDENSIEL
60078078,LÉVONORGESTREL,LEVONORGESTREL EG
60078765,QUÉTIAPINE (HÉMIFUMARATE DE),QUETIAPINE ACCORD HEALTHCARE LP
60078765,QUÉTIAPINE,QUETIAPINE ACCORD HEALTHCARE LP
60079721,PALMIER DE FLORIDE (SERENOA REPENS (W.BARTRAM) SMALL.) (EXTRAIT DU FRUIT DE),PERMIXON
60080218,MÉSALAZINE,FIVASA
60080232,COMPLEXE D'HYDROXYDE FERRIQUE - SACCHAROSE,VENOFER IV
60080232,FER,VENOFER IV
60082023,PARACÉTAMOL,FERVEXRHUME
60082023,MALÉATE DE CHLORPHÉNAMINE,FERVEXRHUME
60082062,ACÉTATE DE GLATIRAMÈRE,COPAXONE
60082062,GLATIRAMÈRE,COPAXONE
60082895,LAPIS ALBUS POUR PRÉPARATIONS HOMÉOPATHIQUES,LAPIS ALBUS BOIRON CH CH DH DH
60082895,LAPIS ALBUS POUR PRÉPARATIONS HOMÉOPATHIQUES,LAPIS ALBUS BOIRON CH CH DH DH
60082895,LAPIS ALBUS POUR PRÉPARATIONS HOMÉOPATHIQUES,LAPIS ALBUS BOIRON CH CH DH DH
60082895,LAPIS ALBUS POUR PRÉPARATIONS HOMÉOPATHIQUES,LAPIS ALBUS BOIRON CH CH DH DH
60082895,LAPIS ALBUS POUR PRÉPARATIONS HOMÉOPATHIQUES,LAPIS ALBUS BOIRON CH CH DH DH
60082895,LAPIS ALBUS POUR PRÉPARATIONS HOMÉOPATHIQUES,LAPIS ALBUS BOIRON CH CH DH DH
60083132,OLANZAPINE,OLANZAPINE ARROW GENERIQUES
60084049,CHLORHYDRATE DE GLUCAGON ,GLUCAGEN
60084049,GLUCAGON HUMAIN BIOGÉNÉTIQUE,GLUCAGEN
60085553,AMBRISENTAN,AMBRISENTAN OHRE PHARMA
60085578,PÉFLOXACINE,PEFLACINE MONODOSE
60085578,PÉFLOXACINE (MÉSILATE DE) DIHYDRATÉ,PEFLACINE MONODOSE
60085610,CHLORHYDRATE DE VENLAFAXINE,VENLAFAXINE MYLAN PHARMA LP
60085610,VENLAFAXINE,VENLAFAXINE MYLAN PHARMA LP
60088834,PODOPHYLLUM PELTATUM POUR PRÉPARATIONS HOMÉOPATHIQUES,DENTINEA
60088834,PLANTAGO MAJOR POUR PRÉPARATIONS HOMÉOPATHIQUES,DENTINEA
60088834,CHAMOMILLA VULGARIS POUR PRÉPARATIONS HOMÉOPATHIQUES,DENTINEA
60088834,CHAMOMILLA VULGARIS POUR PRÉPARATIONS HOMÉOPATHIQUES,DENTINEA
60089217,AFLIBERCEPT ,ZALTRAP
60091086,PARACÉTAMOL,PARACETAMOL TEVA
60092590,LÉVODOPA,SINEMET
60092590,CARBIDOPA ANHYDRE,SINEMET
60092590,CARBIDOPA MONOHYDRATÉE,SINEMET
60093639,CHLORHYDRATE DE ROPINIROLE,ROPINIROLE BIOGARAN LP
60093639,ROPINIROLE,ROPINIROLE BIOGARAN LP
60094125,TRANDOLAPRIL,TRANDOLAPRIL MYLAN
60095056,HEXÉTIDINE,HEXTRIL POUR CENT
60095095,CHLORHYDRATE DE LOPÉRAMIDE,IMODIUMLIQUICAPS
60095095,LOPÉRAMIDE BASE,IMODIUMLIQUICAPS
60095526,FOSINOPRIL SODIQUE,FOSINOPRIL ZENTIVA
60095729,ALFA-AMYLASE ,MAXILASE MAUX DE GORGE ALPHAAMYLASE U CEIP
60097203,PRAVASTATINE SODIQUE,PRAVASTATINE ARROW
60097833,CLOBÉTASOL (PROPIONATE DE),DERMOVAL
60098472,ALBUMINE HUMAINE PLASMATIQUE ,ALBUMINE HUMAINE BAXTER BIOSCIENCE
60099738,AMOXICILLINE ANHYDRE,AMOXICILLINEACIDE CLAVULANIQUE ALMUS ADULTES
60099738,AMOXICILLINE TRIHYDRATÉE,AMOXICILLINEACIDE CLAVULANIQUE ALMUS ADULTES
60099738,CLAVULANATE DE POTASSIUM,AMOXICILLINEACIDE CLAVULANIQUE ALMUS ADULTES
60099738,CLAVULANIQUE (ACIDE),AMOXICILLINEACIDE CLAVULANIQUE ALMUS ADULTES
60100877,BÉTAXOLOL (CHLORHYDRATE DE),BETOPTIC POUR CENT
60100877,BÉTAXOLOL BASE,BETOPTIC POUR CENT
60104893,"QUERCUS, DÉCOCTÉ POUR PRÉPARATIONS HOMÉOPATHIQUES",QUERCUS WELEDA CH CH DH DH
60104893,"QUERCUS, DÉCOCTÉ POUR PRÉPARATIONS HOMÉOPATHIQUES",QUERCUS WELEDA CH CH DH DH
60104893,"QUERCUS, DÉCOCTÉ POUR PRÉPARATIONS HOMÉOPATHIQUES",QUERCUS WELEDA CH CH DH DH
60104893,"QUERCUS, DÉCOCTÉ POUR PRÉPARATIONS HOMÉOPATHIQUES",QUERCUS WELEDA CH CH DH DH
60104893,"QUERCUS, DÉCOCTÉ POUR PRÉPARATIONS HOMÉOPATHIQUES",QUERCUS WELEDA CH CH DH DH
60105162,GABAPENTINE,GABAPENTINE ZENTIVA
60105568,CHLORHYDRATE DE ROPIVACAÏNE MONOHYDRATÉ,ROPIVACAINE ALTAN L
60105568,CHLORHYDRATE DE ROPIVACAÏNE,ROPIVACAINE ALTAN L
60106606,MOROCTOCOG ALFA ,REFACTO AF UI
60106848,ÉTHINYLESTRADIOL,DROSPIBEL
60106848,DROSPIRÉNONE,DROSPIBEL
60107747,ACIDE LACTIQUE,VERRUFILM
60107747,ACIDE SALICYLIQUE,VERRUFILM
60107932,CHARBON ACTIVÉ,ARKOGELULES CHARBON VEGETAL
60108518,CHLORHYDRATE D'OXYCODONE,OXYCODONE SANDOZ
60108518,OXYCODONE,OXYCODONE SANDOZ
60108678,CHLORHYDRATE DE TERBINAFINE,TERBINAFINE BIOGARAN
60108678,TERBINAFINE,TERBINAFINE BIOGARAN
60108870,CAPTOPRIL,CAPTOPRIL SANDOZ
60109100,DILTIAZEM (CHLORHYDRATE DE),MONO TILDIEM LP
60109303,MUPIROCINE,MUPIROCINE PIERRE FABRE
60110031,EAU POUR PRÉPARATIONS INJECTABLES,EAU POUR PREPARATIONS INJECTABLES FRESENIUS
60110896,ENTÉCAVIR MONOHYDRATÉ,ENTECAVIR ACCORD
60110896,ENTÉCAVIR,ENTECAVIR ACCORD
60111101,CHLORHYDRATE DE PYRIDOXINE,MAGNESIUMVITAMINE B MYLAN
60111101,LACTATE DE MAGNÉSIUM DIHYDRATÉ,MAGNESIUMVITAMINE B MYLAN
60111101,MAGNÉSIUM,MAGNESIUMVITAMINE B MYLAN
60111197,ACICLOVIR,ACICLOVIR ARROW
60111471,RACÉCADOTRIL,TIORFAN L
60111813,MALÉATE D'ÉNALAPRIL,ENALAPRIL ZENTIVA
60114485,PROGESTERONUM POUR PRÉPARATIONS HOMÉOPATHIQUES,PROGESTERONUM BOIRON CH CH DH DH
60114485,PROGESTERONUM POUR PRÉPARATIONS HOMÉOPATHIQUES,PROGESTERONUM BOIRON CH CH DH DH
60114485,PROGESTERONUM POUR PRÉPARATIONS HOMÉOPATHIQUES,PROGESTERONUM BOIRON CH CH DH DH
60114485,PROGESTERONUM POUR PRÉPARATIONS HOMÉOPATHIQUES,PROGESTERONUM BOIRON CH CH DH DH
